,Scenario,Scenario_num,Scenario_sum
0,ab21_12_ab23_01,165,7480
1,ab15_07_ab23_06,120,7157
2,ab20_01_ab63_02,16,22448
3,ab21_11_ab23_01,75,3613
4,ab21_11_ab23_03,50,46671
5,ab15_08_ab63_02,64,6327
6,ab20_01_ab23_01,30,1694
7,ab15_07_ab21_12,88,49880
8,ab15_07_ab23_01,120,7209
9,ab20_01_ab23_06,30,1731
10,ab20_04_ab23_03,50,56501
11,ab21_01_ab19_02,50,4498
12,ab15_08_ab59_02,72,6975
13,ab15_07_ab63_02,64,90010
14,ab20_04_ab60_02,50,56498
15,ab21_01_ab21_11,25,3910
16,ab21_12_ab23_06,165,7757
17,ab15_08_ab23_01,120,7343
18,ab20_01_ab21_11,10,2815
19,ab63_02_ab23_01,120,6557
20,ab20_04_ab23_06,75,5145
21,ab63_02_ab23_03,80,112861
22,ab15_08_ab21_11,40,3874
23,ab15_08_ab60_02,80,7743
24,ab19_02_ab23_03,100,60692
25,ab15_07_ab23_03,80,143360
26,ab15_08_ab23_06,120,7486
27,ab15_07_ab19_02,80,41611
28,ab20_01_ab19_02,20,7679
29,ab20_04_ab19_02,50,25753
30,ab20_01_ab23_03,20,35840
31,ab21_01_ab21_12,55,5109
32,ab63_02_ab23_06,120,6803
33,ab63_02_ab59_02,72,100890
34,ab15_08_ab21_12,88,8216
35,ab20_01_ab21_12,22,6570
36,ab21_11_ab60_02,50,47571
37,ab15_08_ab23_03,80,7739
38,ab19_02_ab59_02,90,32641
39,ab63_02_ab60_02,80,112854
40,ab21_11_ab59_02,45,11655
41,ab20_04_ab63_02,40,46302
42,ab21_01_ab60_02,50,19041
43,ab15_07_ab59_02,72,129024
44,ab20_01_ab59_02,18,32256
45,ab21_12_ab59_02,99,27404
46,ab19_02_ab23_06,150,6729
47,ab21_12_ab60_02,111,75613
48,ab15_08_ab19_02,80,7918
49,ab20_04_ab59_02,45,80640
50,ab21_01_ab23_01,75,3098
51,ab21_01_ab23_06,75,3277
52,ab21_12_ab23_03,110,73869
53,ab20_04_ab21_11,25,28043
54,ab20_04_ab23_01,75,5255
55,ab20_04_ab21_12,55,30888
56,ab21_11_ab23_06,75,3749
57,ab15_07_ab21_11,40,27388
58,ab21_01_ab23_03,50,18198
59,ab21_01_ab59_02,45,5257
60,ab21_01_ab63_02,40,5634
61,ab19_02_ab60_02,100,61088
62,ab19_02_ab23_01,150,6511
63,ab15_07_ab60_02,80,143360
64,ab20_01_ab60_02,20,35840
